A	DA	B	DB	R	subj
80	0	85	157	0	1
34	0	50	30	1	1
25	0	60	14	1	1
11	0	30	7	1	1
49	0	60	89	0	1
41	0	75	20	1	1
34	0	35	186	0	1
31	0	85	7	1	1
19	0	25	53	0	1
22	0	25	136	0	1
55	0	75	61	0	1
28	0	30	179	0	1
47	0	50	160	0	1
14	0	25	19	1	1
54	0	80	30	1	1
69	0	85	91	0	1
54	0	55	117	0	1
25	0	30	80	0	1
27	0	50	21	1	1
40	0	55	62	0	1
54	0	60	111	0	1
15	0	35	13	1	1
33	0	80	14	1	1
24	0	35	29	0	1
78	0	80	162	0	1
67	0	75	119	0	1
20	0	55	7	1	1
80	0	85	157	0	2
34	0	50	30	1	2
25	0	60	14	1	2
11	0	30	7	1	2
49	0	60	89	0	2
41	0	75	20	1	2
34	0	35	186	0	2
31	0	85	7	1	2
19	0	25	53	0	2
22	0	25	136	0	2
55	0	75	61	1	2
28	0	30	179	0	2
47	0	50	160	0	2
14	0	25	19	1	2
54	0	80	30	1	2
69	0	85	91	0	2
54	0	55	117	0	2
25	0	30	80	0	2
27	0	50	21	1	2
40	0	55	62	0	2
54	0	60	111	0	2
15	0	35	13	1	2
33	0	80	14	1	2
24	0	35	29	1	2
78	0	80	162	0	2
67	0	75	119	0	2
20	0	55	7	1	2
80	0	85	157	0	3
34	0	50	30	0	3
25	0	60	14	1	3
11	0	30	7	1	3
49	0	60	89	0	3
41	0	75	20	1	3
34	0	35	186	0	3
31	0	85	7	1	3
19	0	25	53	0	3
22	0	25	136	0	3
55	0	75	61	0	3
28	0	30	179	0	3
47	0	50	160	0	3
14	0	25	19	1	3
54	0	80	30	0	3
69	0	85	91	0	3
54	0	55	117	0	3
25	0	30	80	0	3
27	0	50	21	1	3
40	0	55	62	0	3
54	0	60	111	0	3
15	0	35	13	1	3
33	0	80	14	1	3
24	0	35	29	0	3
78	0	80	162	0	3
67	0	75	119	0	3
20	0	55	7	1	3
80	0	85	157	0	4
34	0	50	30	0	4
25	0	60	14	1	4
11	0	30	7	1	4
49	0	60	89	0	4
41	0	75	20	1	4
34	0	35	186	0	4
31	0	85	7	1	4
19	0	25	53	0	4
22	0	25	136	0	4
55	0	75	61	1	4
28	0	30	179	0	4
47	0	50	160	0	4
14	0	25	19	1	4
54	0	80	30	1	4
69	0	85	91	0	4
54	0	55	117	0	4
25	0	30	80	0	4
27	0	50	21	1	4
40	0	55	62	0	4
54	0	60	111	0	4
15	0	35	13	1	4
33	0	80	14	1	4
24	0	35	29	1	4
78	0	80	162	0	4
67	0	75	119	0	4
20	0	55	7	1	4
28	0	30	179	0	5
34	0	35	186	0	5
19	0	25	53	0	5
41	0	75	20	1	5
27	0	50	21	1	5
54	0	55	117	0	5
15	0	35	13	1	5
67	0	75	119	0	5
20	0	55	7	1	5
54	0	60	111	0	5
22	0	25	136	0	5
49	0	60	89	0	5
24	0	35	29	0	5
78	0	80	162	0	5
11	0	30	7	1	5
25	0	60	14	1	5
54	0	80	30	1	5
69	0	85	91	0	5
47	0	50	160	0	5
33	0	80	14	1	5
40	0	55	62	0	5
31	0	85	7	1	5
34	0	50	30	0	5
25	0	30	80	0	5
80	0	85	157	0	5
14	0	25	19	1	5
55	0	75	61	0	5
28	0	30	179	0	6
34	0	35	186	0	6
19	0	25	53	0	6
41	0	75	20	1	6
27	0	50	21	1	6
54	0	55	117	0	6
15	0	35	13	1	6
67	0	75	119	0	6
20	0	55	7	1	6
54	0	60	111	0	6
22	0	25	136	0	6
49	0	60	89	0	6
24	0	35	29	0	6
78	0	80	162	0	6
11	0	30	7	1	6
25	0	60	14	1	6
54	0	80	30	1	6
69	0	85	91	0	6
47	0	50	160	0	6
33	0	80	14	1	6
40	0	55	62	0	6
31	0	85	7	1	6
34	0	50	30	0	6
25	0	30	80	0	6
80	0	85	157	0	6
14	0	25	19	0	6
55	0	75	61	0	6
28	0	30	179	0	7
34	0	35	186	0	7
19	0	25	53	0	7
